,target_definition,forecast_distance,feature_derivation,project,project_id
0,Regression,1,1,Project(big_trade_target_Regression_foreDist_1_deriv_1),6465059f6a385c11de22979d
1,Regression,1,5,Project(big_trade_target_Regression_foreDist_1_deriv_5),646507016a385c11de2297b5
2,Regression,1,15,Project(big_trade_target_Regression_foreDist_1_deriv_15),64650bedbe7eeb2c8722975b
3,Regression,2,1,Project(big_trade_target_Regression_foreDist_2_deriv_1),64651034d067f66552e06dad
4,Regression,2,5,Project(big_trade_target_Regression_foreDist_2_deriv_5),646511a0be7eeb2c872297fa
5,Regression,2,15,Project(big_trade_target_Regression_foreDist_2_deriv_15),646513e280e35077572298d7
6,Regression,3,1,Project(big_trade_target_Regression_foreDist_3_deriv_1),6465184980e3507757229911
7,Regression,3,5,Project(big_trade_target_Regression_foreDist_3_deriv_5),646519babe7eeb2c8722989a
8,Regression,3,15,Project(big_trade_target_Regression_foreDist_3_deriv_15),64651c02ee8f5d0c26e06ca2
9,200,1,1,Project(big_trade_target_200_foreDist_1_deriv_1),646521ccd067f66552e06f60
10,200,1,5,Project(big_trade_target_200_foreDist_1_deriv_5),6465232a80e3507757229990
11,200,1,15,Project(big_trade_target_200_foreDist_1_deriv_15),6465256ad067f66552e06fa6
12,200,2,1,Project(big_trade_target_200_foreDist_2_deriv_1),64652a0ad067f66552e07016
13,200,2,5,Project(big_trade_target_200_foreDist_2_deriv_5),64652b8fcefe8eb06b228eb4
14,200,2,15,Project(big_trade_target_200_foreDist_2_deriv_15),64652dbd80e35077572299ba
15,200,3,1,Project(big_trade_target_200_foreDist_3_deriv_1),646534eed067f66552e0708e
16,200,3,5,Project(big_trade_target_200_foreDist_3_deriv_5),646536e6ee24918208e06aa6
17,200,3,15,Project(big_trade_target_200_foreDist_3_deriv_15),64653924cefe8eb06b228ffb
18,500,1,1,Project(big_trade_target_500_foreDist_1_deriv_1),64653e54cefe8eb06b2290af
19,500,1,5,Project(big_trade_target_500_foreDist_1_deriv_5),64653feeee24918208e06b94
20,500,1,15,Project(big_trade_target_500_foreDist_1_deriv_15),6465425fadad87418a228e29
